,,,,,,Daily Price Report-01-01-2024 to 31-12-2024 for Karnataka,,,,,
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,833.00","1,833.00","1,833.00",Rs./Quintal,28-11-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,624.00","2,624.00","2,624.00",Rs./Quintal,08-11-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","2,469.00","2,040.00",Rs./Quintal,29-12-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,650.00","2,485.00","2,288.00",Rs./Quintal,15-12-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,389.00","2,263.00",Rs./Quintal,08-12-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,589.00","2,879.00","2,802.00",Rs./Quintal,04-08-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,449.00","2,911.00","2,751.00",Rs./Quintal,28-07-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,706.00","3,211.00","2,586.00",Rs./Quintal,21-07-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,701.00","3,150.00","2,464.00",Rs./Quintal,14-07-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,570.00","2,829.00","2,300.00",Rs./Quintal,07-07-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,700.00","2,789.00","2,508.00",Rs./Quintal,30-06-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,750.00","2,832.00","2,641.00",Rs./Quintal,23-06-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,700.00","2,806.00","2,379.00",Rs./Quintal,09-06-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,700.00","2,765.00","2,391.00",Rs./Quintal,02-06-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,150.00","2,801.00","2,558.00",Rs./Quintal,19-05-2024
Karnataka,Chitradurga,Challakere APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,659.00","2,518.00",Rs./Quintal,12-05-2024
Karnataka,Chitradurga,Holalkere APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,04-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,250.00","2,470.00","2,360.00",Rs./Quintal,31-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,250.00","2,500.00","2,446.00",Rs./Quintal,30-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,250.00","2,600.00","2,460.00",Rs./Quintal,26-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,250.00","3,157.00","2,516.00",Rs./Quintal,23-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,21-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,360.00","2,580.00","2,520.00",Rs./Quintal,20-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,530.00","2,723.00","2,571.00",Rs./Quintal,19-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,590.00","2,524.00",Rs./Quintal,18-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,600.00","2,537.00",Rs./Quintal,17-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,640.00","2,536.00",Rs./Quintal,16-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,560.00","2,600.00","2,578.00",Rs./Quintal,13-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,550.00","2,479.00",Rs./Quintal,12-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","3,020.00","2,479.00",Rs./Quintal,10-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,174.00","2,580.00","2,475.00",Rs./Quintal,09-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,550.00","2,519.00",Rs./Quintal,07-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,480.00","2,800.00","2,539.00",Rs./Quintal,06-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,450.00","2,750.00","2,510.00",Rs./Quintal,05-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,04-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,420.00","2,760.00","2,489.00",Rs./Quintal,03-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,800.00","2,529.00",Rs./Quintal,02-12-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,370.00","2,500.00","2,403.00",Rs./Quintal,28-11-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,360.00","2,500.00","2,405.00",Rs./Quintal,27-11-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,400.00","2,400.00",Rs./Quintal,26-11-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,370.00","2,370.00","2,370.00",Rs./Quintal,19-11-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,080.00","3,100.00","3,000.00",Rs./Quintal,09-07-2024
Karnataka,Davangere,Channagiri APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,385.00","2,960.00","2,723.00",Rs./Quintal,25-06-2024
Karnataka,Dharwad,Dharwar APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,450.00","2,450.00","2,450.00",Rs./Quintal,29-07-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,150.00","2,087.00",Rs./Quintal,20-12-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,100.00","2,100.00","2,100.00",Rs./Quintal,12-12-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","1,800.00","1,800.00",Rs./Quintal,09-12-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","2,100.00","1,967.00",Rs./Quintal,07-12-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,530.00","2,580.00","2,553.00",Rs./Quintal,03-12-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,200.00","2,200.00",Rs./Quintal,23-10-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,450.00","2,450.00","2,450.00",Rs./Quintal,04-10-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,21-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,20-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,13-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,12-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,400.00","2,400.00",Rs./Quintal,11-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,05-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,04-09-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,30-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,23-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,16-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,430.00","2,430.00","2,430.00",Rs./Quintal,14-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,650.00","2,525.00",Rs./Quintal,13-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,12-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,06-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,05-08-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,30-07-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,700.00","2,700.00","2,700.00",Rs./Quintal,25-07-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,700.00","2,700.00","2,700.00",Rs./Quintal,11-07-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,650.00","2,700.00","2,675.00",Rs./Quintal,09-07-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,400.00","2,400.00",Rs./Quintal,08-07-2024
Karnataka,Dharwad,Kalagategi APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,650.00","2,575.00",Rs./Quintal,05-07-2024
Karnataka,Hassan,Arakalgud APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,200.00","3,200.00","3,200.00",Rs./Quintal,20-11-2024
Karnataka,Hassan,Arakalgud APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,000.00","3,000.00","3,000.00",Rs./Quintal,15-11-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,12-12-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,300.00","2,300.00",Rs./Quintal,19-11-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,29-10-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,300.00","2,300.00",Rs./Quintal,21-10-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,300.00","2,300.00",Rs./Quintal,07-10-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,300.00","2,300.00",Rs./Quintal,03-10-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,500.00","2,300.00",Rs./Quintal,25-09-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","6,060.00","2,500.00",Rs./Quintal,23-09-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,650.00","2,650.00","2,650.00",Rs./Quintal,18-09-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,04-09-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,03-09-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,02-09-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,12-08-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,07-08-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,04-07-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,750.00","2,750.00","2,750.00",Rs./Quintal,25-06-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,19-06-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,750.00","2,500.00",Rs./Quintal,06-06-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,750.00","2,750.00","2,750.00",Rs./Quintal,27-05-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,475.00","2,475.00","2,475.00",Rs./Quintal,21-05-2024
Karnataka,Hassan,Belur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,14-02-2024
Karnataka,Hassan,Channarayapatna APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,900.00","2,900.00","2,900.00",Rs./Quintal,27-09-2024
Karnataka,Hassan,Channarayapatna APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,900.00","1,900.00","1,900.00",Rs./Quintal,19-09-2024
Karnataka,Hassan,Channarayapatna APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,10-09-2024
Karnataka,Hassan,Channarayapatna APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,23-07-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,29-10-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,22-10-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,300.00","2,300.00",Rs./Quintal,12-09-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,03-09-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,29-08-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,450.00","2,450.00","2,450.00",Rs./Quintal,27-08-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,450.00","2,450.00","2,450.00",Rs./Quintal,06-08-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,506.00","2,506.00","2,506.00",Rs./Quintal,26-07-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,105.00","2,105.00","2,105.00",Rs./Quintal,01-07-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,200.00","3,200.00","3,200.00",Rs./Quintal,31-05-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,825.00","3,825.00","3,825.00",Rs./Quintal,30-01-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,352.00","2,352.00","2,352.00",Rs./Quintal,10-01-2024
Karnataka,Hassan,Hassan APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,383.00","2,383.00","2,383.00",Rs./Quintal,09-01-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,310.00","2,310.00","2,310.00",Rs./Quintal,31-12-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,250.00","2,000.00",Rs./Quintal,30-12-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,016.00","2,016.00","2,016.00",Rs./Quintal,22-12-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,21-12-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,500.00","2,200.00",Rs./Quintal,20-12-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,250.00","2,000.00",Rs./Quintal,16-12-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,16-10-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,03-10-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,500.00","2,500.00",Rs./Quintal,19-09-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,12-09-2024
Karnataka,Hassan,Sakaleshpura APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,775.00","2,775.00","2,775.00",Rs./Quintal,03-04-2024
Karnataka,Haveri,Hirekerur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,300.00","2,300.00","2,300.00",Rs./Quintal,31-12-2024
Karnataka,Haveri,Hirekerur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,900.00","2,900.00","2,900.00",Rs./Quintal,29-10-2024
Karnataka,Haveri,Hirekerur APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,000.00","3,050.00","3,000.00",Rs./Quintal,30-09-2024
Karnataka,Haveri,Hirekerur APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,800.00","3,100.00","3,000.00",Rs./Quintal,01-06-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,300.00","2,300.00",Rs./Quintal,31-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","2,200.00","2,100.00",Rs./Quintal,29-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,28-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,950.00","2,330.00","2,100.00",Rs./Quintal,27-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,880.00","2,100.00","2,000.00",Rs./Quintal,17-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,880.00","2,180.00","1,880.00",Rs./Quintal,14-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,880.00","2,190.00","2,100.00",Rs./Quintal,13-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,950.00","2,170.00","2,100.00",Rs./Quintal,09-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,100.00","2,120.00","2,100.00",Rs./Quintal,08-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,07-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,950.00","2,010.00","2,000.00",Rs./Quintal,06-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,05-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,940.00","2,100.00","2,000.00",Rs./Quintal,03-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,920.00","2,100.00","2,100.00",Rs./Quintal,02-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,200.00","2,200.00",Rs./Quintal,01-12-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,900.00","2,280.00","2,200.00",Rs./Quintal,27-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,150.00","2,100.00",Rs./Quintal,26-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,200.00","2,200.00",Rs./Quintal,25-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,150.00","2,280.00","2,280.00",Rs./Quintal,19-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,930.00","2,200.00","2,200.00",Rs./Quintal,17-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,080.00","2,200.00","2,200.00",Rs./Quintal,16-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,900.00","1,900.00","1,900.00",Rs./Quintal,15-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,13-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,12-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,050.00","2,255.00","2,255.00",Rs./Quintal,10-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,900.00","2,200.00","1,900.00",Rs./Quintal,09-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","2,150.00","1,800.00",Rs./Quintal,08-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,06-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,050.00","2,060.00","2,060.00",Rs./Quintal,05-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","1,800.00","1,800.00",Rs./Quintal,03-11-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"1,800.00","1,800.00","1,800.00",Rs./Quintal,28-10-2024
Karnataka,Haveri,Shiggauv APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,000.00","2,100.00","2,000.00",Rs./Quintal,27-10-2024
